Idnum	individScore	geogScore	artScore	langScore	weightScore	Copied_score	Condition	o_score	copCopied	copHobs	copyFreq	copScore	age	gender	edu	city	Q1A	Q1B	Q1C	Q2A	Q2B	Q2C	Q3A	Q3B	Q3C	Q4A	Q4B	Q4C	Q5A	Q5B	Q5C	Q6A	Q6B	Q6C	Q7A	Q7B	Q7C	Q8A	Q8B	Q8C	Q9A	Q9B	Q9C	Q10A	Q10B	Q10C	Q11A	Q11B	Q11C	Q12A	Q12B	Q12C	Q13A	Q13B	Q13C	Q14A	Q14B	Q14C	Q15A	Q15B	Q15C	Q16A	Q16B	Q16C	Q17A	Q17B	Q17C	Q18A	Q18B	Q18C	Q19A	Q19B	Q19C	Q20A	Q20B	Q20C	Q21A	Q21B	Q21C	Q22A	Q22B	Q22C	Q23A	Q23B	Q23C	Q24A	Q24B	Q24C	Q25A	Q25B	Q25C	Q26A	Q26B	Q26C	Q27A	Q27B	Q27C	Q28A	Q28B	Q28C	Q29A	Q29B	Q29C	Q30A	Q30B	Q30C	Q31A	Q31B	Q31C	Q32A	Q32B	Q32C	Q33A	Q33B	Q33C	Q34A	Q34B	Q34C	Q35A	Q35B	Q35C	Q36A	Q36B	Q36C	Q37A	Q37B	Q37C	Q38A	Q38B	Q38C	Q39A	Q39B	Q39C	Q40A	Q40B	Q40C	Q41A	Q41B	Q41C	Q42A	Q42B	Q42C	Q43A	Q43B	Q43C	Q43A	Q44B	Q44C	Q45A	Q45B	Q45C	Q46A	Q46B	Q46C	Q47A	Q47B	Q47C	Q48A	Q48B	Q48C	Q49A	Q49B	Q49C	Q50A	Q50B	Q50C	Q51A	Q51B	Q51C	Q52A	Q52B	Q52C	Q53A	Q53B	Q53C	Q54A	Q54B	Q54C	Q55A	Q55B	Q55C	Q56A	Q56B	Q56C	Q57A	Q57B	Q57C	Q58A	Q58B	Q58C	Q59A	Q59B	Q59C	Q60A	Q60B	Q60C	Q61A	Q61B	Q61C	Q62A	Q62B	Q62C	Q63A	Q63B	Q63C	Q64A	Q64B	Q64C	Q65A	Q65B	Q65C	Q66A	Q66B	Q66C	Q67A	Q67B	Q67C	Q68A	Q68B	Q68C	Q69A	Q69B	Q69C	Q70A	Q70B	Q70C	Q71A	Q71B	Q71C	Q72A	Q72B	Q72C	Q73A	Q73B	Q73C	Q74A	Q74B	Q74C	Q75A	Q75B	Q75C	Q76A	Q76B	Q76C	Q77A	Q77B	Q77C	Q78A	Q78B	Q78C	Q79A	Q79B	Q79C	Q80A	Q80B	Q80C	Q81A	Q81B	Q81C	Q82A	Q82B	Q82C	Q83A	Q83B	Q83C	Q84A	Q84B	Q84C	Q85A	Q85B	Q85C	Q86A	Q86B	Q86C	Q87A	Q87B	Q87C	Q88A	Q88B	Q88C	Q89A	Q89B	Q89C	Q90A	Q90B	Q90C	Q91A	Q91B	Q91C	Q92A	Q92B	Q92C	Q93A	Q93B	Q93C	Q94A	Q94B	Q94C	Q95A	Q95B	Q95C	Q96A	Q96B	Q96C	Q97A	Q97B	Q97C	Q98A	Q98B	Q98C	Q99A	Q99B	Q99C	Q100A	Q100B	Q100C	why1	why2
52	72	14	20	19	19	0	A	72	0	0	0	0	46	Female	GCSE or equivalent	Chesterfield																																																																																																																																																																																																																																																																																																													I chose not to copy as i wanted right and wrong answers to be my own	I decided if i was going to get a question wrong it would be my wrong answer
53	74	18	20	13	23	0	A	74	0	0	0	0	32	Male	Degree BSc/BA/equivalent	middlesbrough																																																																																																																																																																																																																																																																																																													i didnt	I wanted to make the decision by myself. I messed up about 5 easy answers because of the clock
54	59	14	12	17	16	0	B	59	0	0	0	0	30	Female	Apprenticeship / trade / technical / vocational training	dunoon/glasgow																																																																																																																																																																																																																																																																																																													i didnt	just dont think its right
55	50	9	15	14	12	0	A	50	0	0	0	0	20 years old	Female	Prefer not to say	Carlisle																																																																																																																																																																																																																																																																																																													I never dod	Cause its cheating
56	59	14	13	14	18	5	B	64	5	4	9	0	25 years 	Female	Apprenticeship / trade / technical / vocational training	Stratford 		I was never copied																		I was copied 5 times																																																																														I was copied 6 times																																																																																				I was never copied																																																																		I was copied 6 times																																																					I had no idea 	I just wanted to try it myself 
57	73	20	15	17	21	1	B	74	1	0	1	0	32	Male	Apprenticeship / trade / technical / vocational training	Exeter																																																																																			I was copied 4 times																																																																																																																																																																																																																										didnt know	i felt confident enough to answrer
58	54	14	7	14	19	0	B	54	0	0	0	0	45	Female	GCSE or equivalent	Liverpool																																																																																																																																																																																																																																																																																																													I didnt use this	I like to try to choose my own answers and not copy
59	59	17	17	12	13	0	A	59	0	0	0	0	61	Female	GCSE or equivalent	Wolverhampton																																																																																																																																																																																																																																																																																																													didnt	wanted to see how much I knew
60	63	18	10	14	21	0	A	63	1	0	1	0	20	Female	Degree BSc/BA/equivalent	Edinburgh 																																																																																																																																																													I was copied 3 times																																																																																																																																																I didn't 	Cause I wanted to try myself 
61	74	21	15	17	21	0	A	74	0	0	0	0	32	Male	Degree BSc/BA/equivalent	Norwich																																																																																																																																																																																																																																																																																																													I didnt	Wanted to do my best
62	52	12	9	13	18	0	C	52	0	0	1	1	26	Female	Degree BSc/BA/equivalent	london																																																																																																																																																																																																																																																																																																													I dont know the answer	I dont want to
63	52	15	11	10	16	1	A	53	1	0	1	0	35	Male	GCSE or equivalent	London 																																																																																																																																																																																																																																					I was copied 4 times																																																																								To get right answers 	To test mine 
64	67	17	14	14	22	0	A	67	0	0	0	0	26	Female	Degree BSc/BA/equivalent	London																																																																																																																																																																																																																																																																																																													I didnt copy any answer	Same chance as getting right if I guessed myself
65	53	11	14	10	18	1	B	54	1	2	3	0	1997	Female	A level/ equivalent	London																																I was never copied																																																																																																																																																																																																																																																																													Because I didn't know what to put for my answer	Because I knew the information
66	49	12	8	13	16	0	A	49	0	0	0	0	19	Female	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													In case they have more information and knowledge on a certain subject	In case it's wrong
67	70	18	16	18	18	0	B	70	1	0	1	0	39	Female	Degree BSc/BA/equivalent	Aberdeen																																																																																																																																																														I was copied 6 times																																																																																																																																															Generally I dont	Id rather try myself
68	58	14	11	14	19	0	C	58	0	0	0	0	44	Female	Degree BSc/BA/equivalent	Cumnock																																																																																																																																																																																																																																																																																																													I didnt	Like my own answers
69	42	10	3	11	18	19	C	61	1	0	32	31	44	Female	Masters level MSc/MRes/MA/equivalent	Hull																																																																																																																																																																																																			I was copied once																																																																																																										Because I didn't know the answer and if they have a higher score they will have been more likely to get that question correct	Bc I knew the answer and lower scores meant they are more likely to not know that answer
70	44	12	10	9	13	0	C	44	0	0	0	0	37	Female	Masters level MSc/MRes/MA/equivalent	London																																																																																																																																																																																																																																																																																																													I dont know	Maybe there wrong
71	57	11	11	17	18	1	A	58	1	0	1	0	30	Male	Masters level MSc/MRes/MA/equivalent	london																																																																																																																																																																																																																																																																																																				I was copied 5 times									no comment	no comment
72	60	10	14	15	21	1	B	61	1	0	1	0	29	Female	Degree BSc/BA/equivalent	Nottingham																																																																																																																																																																																																								I was copied 5 times																																																																																																					Was unsure	Trusted gut
73	72	19	15	15	23	0	B	72	0	0	0	0	25	Female	Degree BSc/BA/equivalent	Cardiff 																																																																																																																																																																																																																																																																																																													I didn't. 	I would rather try myself. 
74	80	22	21	17	20	3	A	83	2	1	3	0	23	Female	Degree BSc/BA/equivalent	London																																		I was copied 5 times																																																																																																																																																																											I was copied twice																																																																																																I had no idea what the answer was 	I thought that the reason for choosing someone else didn't make it clear if they knew the answer or could answer it better than me
75	61	11	12	17	21	0	B	61	1	0	1	0	21	Male	A level/ equivalent	Bristol																																																																																																																																																																																																																																																	I was copied 6 times																																																												I didn't	Would rather an educated guess than a random answer by someone else
76	44	12	10	12	10	0	A	44	0	0	0	0	20	Male	A level/ equivalent	New york																																																																																																																																																																																																																																																																																																													I didn't 	Cuz I can be wrong 
77	61	13	17	13	18	0	A	61	0	1	1	0	20	Female	GCSE or equivalent																																																																																																																																																																																																																																																																																																														I needed help	I didnt need help
78	52	14	8	12	18	23	A	75	27	3	30	0	41	Male	Apprenticeship / trade / technical / vocational training	preston							I was copied 5 times												I was copied 4 times									I was never copied																											I was copied twice												I was copied 5 times																																										I was copied 4 times																																																			I was copied twice						I was copied 4 times												I was copied once			I was copied once																		I was copied 4 times																								I was copied once						I was copied 4 times			I was copied 3 times										I was copied twice		I was copied 5 times						I was copied twice						I was never copied						I was copied 5 times			I was copied 5 times						I was copied 5 times						I was copied 3 times						I was copied once			I was copied twice						I was copied 5 times			I was copied twice			I was never copied			i was not 100 sure myself	i had good idea myself
